id_discente;sexo;municipio;descricao
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;REPROVADO
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;REPROVADO
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;REPROVADO
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;REPROVADO
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO_POR_NOTA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;DESISTENCIA
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO
a2b5339caf4ea54ef4c904f25feb89ef;M;PARNAMIRIM;APROVADO
40846f2f09da1435f6eb303ce9d0d768;M;NATAL;APROVADO_POR_NOTA
40846f2f09da1435f6eb303ce9d0d768;M;NATAL;APROVADO_POR_NOTA
40846f2f09da1435f6eb303ce9d0d768;M;NATAL;APROVADO_POR_NOTA
40846f2f09da1435f6eb303ce9d0d768;M;NATAL;REPROVADO_POR_MEDIA_E_POR_FALTAS
40846f2f09da1435f6eb303ce9d0d768;M;NATAL;REPROVADO_POR_MEDIA_E_POR_FALTAS
40846f2f09da1435f6eb303ce9d0d768;M;NATAL;REPROVADO_POR_MEDIA_E_POR_FALTAS
40846f2f09da1435f6eb303ce9d0d768;M;NATAL;APROVADO_POR_NOTA
40846f2f09da1435f6eb303ce9d0d768;M;NATAL;APROVADO_POR_NOTA
40846f2f09da1435f6eb303ce9d0d768;M;NATAL;APROVADO_POR_NOTA
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO_POR_NOTA
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO_POR_NOTA
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO_POR_NOTA
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;REPROVADO
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;REPROVADO
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;REPROVADO
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO_POR_NOTA
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO_POR_NOTA
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO_POR_NOTA
0188fee9f69676d5d450513676ffa20f;M;OURO_BRANCO;APROVADO_POR_NOTA
570cb04eb23871dd7b2eae6244b79378;M;NATAL;APROVADO_POR_NOTA
570cb04eb23871dd7b2eae6244b79378;M;NATAL;APROVADO_POR_NOTA
570cb04eb23871dd7b2eae6244b79378;M;NATAL;APROVADO_POR_NOTA
